 -0.157079630E+02 -0.418255723E-07  0.707385736E-02
  0.271747778E+04  0.107714686E-04  0.164914373E-01
  0.273318555E+04  0.124325306E-04  0.167565458E-01
  0.274889355E+04  0.143781454E-04  0.170324109E-01
  0.276460156E+04  0.166596401E-04  0.173197165E-01
  0.278030957E+04  0.193457909E-04  0.176192019E-01
  0.279601733E+04  0.225096865E-04  0.179316793E-01
  0.281172534E+04  0.262496396E-04  0.182580296E-01
  0.282743335E+04  0.306816037E-04  0.185992308E-01
  0.284314136E+04  0.359450278E-04  0.189563446E-01
  0.285884912E+04  0.422003286E-04  0.193305481E-01
  0.287455713E+04  0.496641333E-04  0.197231155E-01
  0.289026514E+04  0.585856142E-04  0.201354790E-01
  0.290597314E+04  0.692748290E-04  0.205692016E-01
  0.292168115E+04  0.821116337E-04  0.210260246E-01
  0.293738916E+04  0.975620569E-04  0.215078667E-01
  0.295309717E+04  0.116198542E-03  0.220168680E-01
  0.296880493E+04  0.138726551E-03  0.225553922E-01
  0.298451294E+04  0.166012585E-03  0.231260695E-01
  0.300022095E+04  0.199130838E-03  0.237318315E-01
  0.301592896E+04  0.239397559E-03  0.243759304E-01
  0.303163672E+04  0.288443785E-03  0.250619669E-01
  0.304734473E+04  0.348275033E-03  0.257939547E-01
  0.306305273E+04  0.421372941E-03  0.265763290E-01
  0.307876074E+04  0.510786835E-03  0.274139829E-01
  0.309446875E+04  0.620278879E-03  0.283123087E-01
  0.311017676E+04  0.754464185E-03  0.292771906E-01
  0.312588477E+04  0.919013401E-03  0.303150490E-01
  0.314159277E+04  0.112086954E-02  0.314327702E-01
  0.315730054E+04  0.136850588E-02  0.326377004E-01
  0.317300854E+04  0.167223404E-02  0.339375511E-01
  0.318871655E+04  0.204455573E-02  0.353402160E-01
  0.320442456E+04  0.250056549E-02  0.368535928E-01
  0.322013232E+04  0.305838347E-02  0.384851769E-01
  0.323584033E+04  0.373962196E-02  0.402416587E-01
  0.325154834E+04  0.456986530E-02  0.421282016E-01
  0.326725635E+04  0.557909254E-02  0.441476628E-01
  0.328296411E+04  0.680206204E-02  0.462994538E-01
  0.329867212E+04  0.827851798E-02  0.485781878E-01
  0.331438013E+04  0.100531932E-01  0.509720445E-01
  0.333008813E+04  0.121754417E-01  0.534607917E-01
  0.334579590E+04  0.146983946E-01  0.560135916E-01
  0.336150391E+04  0.176774357E-01  0.585865080E-01
  0.337721191E+04  0.211678445E-01  0.611200929E-01
  0.339292017E+04  0.252214409E-01  0.635369793E-01
  0.340862817E+04  0.298819803E-01  0.657400861E-01
  0.342433618E+04  0.351794176E-01  0.676116794E-01
  0.344004395E+04  0.411229022E-01  0.690139532E-01
  0.345575195E+04  0.476930179E-01  0.697918087E-01
